epoch,step,train_loss,val_acc,val_loss,val_mcc
0,24,0.5050709247589111,,,
0,49,0.5978379249572754,,,
0,74,0.3289344906806946,,,
0,99,0.28123316168785095,,,
0,124,0.40098029375076294,,,
0,149,0.20075510442256927,,,
0,155,,0.8111639022827148,0.4728991687297821,0.6593347191810608
1,174,0.1032269299030304,,,
1,199,0.2603965103626251,,,
1,224,0.13138484954833984,,,
1,249,0.07640808075666428,,,
1,274,0.20614486932754517,,,
1,299,0.23189957439899445,,,
1,311,,0.8551068902015686,0.35159626603126526,0.6783902049064636
2,324,0.15657657384872437,,,
2,349,0.02647085301578045,,,
2,374,0.035720642656087875,,,
2,399,0.006488313898444176,,,
2,424,0.09102985262870789,,,
2,449,0.0941859781742096,,,
2,467,,0.8515439629554749,0.47017139196395874,0.6852047443389893
3,474,0.0021684591192752123,,,
3,499,0.01330561563372612,,,
3,524,0.001218036632053554,,,
3,549,0.1323036551475525,,,
3,574,0.00946715660393238,,,
3,599,0.036534201353788376,,,
3,623,,0.8610451221466064,0.4619186520576477,0.707056999206543
4,624,0.0069185104221105576,,,
4,649,0.002861479762941599,,,
4,674,0.0017034083139151335,,,
4,699,0.0004871475975960493,,,
4,724,0.0007803856278769672,,,
4,749,0.005420022644102573,,,
4,774,0.017986241728067398,,,
4,779,,0.8467933535575867,0.4784851670265198,0.6653993725776672
5,799,0.006110673304647207,,,
5,824,0.002538257045671344,,,
5,849,0.002237051259726286,,,
5,874,0.0011791419237852097,,,
5,899,0.0010192586341872811,,,
5,924,0.0014194929972290993,,,
5,935,,0.8337292075157166,0.6409255862236023,0.6328014731407166
6,949,0.0004587117291521281,,,
6,974,0.0018167421221733093,,,
